Stock,Date,Price,Open,High,Low,Volume,Previous Close,Intraday Price Change,Intraday %,Interday Price Change,Daily Return %,High-Low Range,High-Low % Range,Volume % Change,7-Day Moving Avg,7-Day Volatility,Risk Level,Day Type,Month,Year
Axis Bank,28/07/2020,437.05,434.00,440.00,424.40,"33,060,000",440.9,3.05,0.70%,-3.85,-0.87%,15.6,3.57%,50.82%,430.99,1.81%,Medium,Down Day,July,2020
Axis Bank,29/07/2020,440.90,435.75,447.00,434.30,"24,400,000",425.85,5.15,1.18%,15.05,3.53%,12.7,2.88%,-26.19%,430.41,1.73%,Medium,Up Day,July,2020
Axis Bank,30/07/2020,425.85,441.90,445.90,424.75,"26,860,000",431.65,-16.05,-3.63%,-5.8,-1.34%,21.15,4.97%,10.08%,429.32,1.42%,Medium,Down Day,July,2020
Axis Bank,31/07/2020,431.65,429.00,434.45,421.30,"27,500,000",417.35,2.65,0.62%,14.3,3.43%,13.15,3.05%,2.38%,430.07,1.37%,Medium,Up Day,July,2020
Axis Bank,03/08/2020,417.35,431.60,431.90,415.70,"23,820,000",429.15,-14.25,-3.30%,-11.8,-2.75%,16.2,3.88%,-13.38%,432.41,2.09%,Medium,Down Day,August,2020
Axis Bank,04/08/2020,429.15,421.85,431.20,417.35,"24,750,000",434.95,7.3,1.73%,-5.8,-1.33%,13.85,3.23%,3.90%,437.23,1.98%,Medium,Down Day,August,2020
Axis Bank,05/08/2020,434.95,439.00,446.85,433.15,"36,940,000",433,-4.05,-0.92%,1.95,0.45%,13.7,3.15%,49.25%,439.94,1.97%,Medium,Up Day,August,2020
Axis Bank,06/08/2020,433.00,436.00,438.30,427.10,"33,470,000",433.3,-3,-0.69%,-0.3,-0.07%,11.2,2.59%,-9.39%,440.06,1.95%,Medium,Down Day,August,2020
Axis Bank,07/08/2020,433.30,431.45,437.00,427.15,"15,570,000",431.1,1.85,0.43%,2.2,0.51%,9.85,2.27%,-53.48%,440.80,1.84%,Medium,Up Day,August,2020
Axis Bank,10/08/2020,431.10,434.00,437.00,429.30,"14,890,000",448,-2.9,-0.67%,-16.9,-3.77%,7.7,1.79%,-4.37%,442.59,1.70%,High,Down Day,August,2020
Axis Bank,11/08/2020,448.00,435.30,449.90,435.30,"30,470,000",451.1,12.7,2.92%,-3.1,-0.69%,14.6,3.26%,104.63%,444.46,1.25%,High,Down Day,August,2020
Axis Bank,12/08/2020,451.10,444.80,452.75,438.95,"23,180,000",448.1,6.3,1.42%,3,0.67%,13.8,3.06%,-23.93%,442.59,1.43%,High,Up Day,August,2020
Axis Bank,13/08/2020,448.10,454.10,456.75,445.35,"21,890,000",435.85,-6,-1.32%,12.25,2.81%,11.4,2.54%,-5.57%,441.07,1.15%,High,Up Day,August,2020
Axis Bank,14/08/2020,435.85,451.50,451.50,425.60,"36,730,000",438.15,-15.65,-3.47%,-2.3,-0.52%,25.9,5.94%,67.79%,440.74,1.05%,High,Down Day,August,2020
Axis Bank,17/08/2020,438.15,439.10,441.00,425.35,"30,200,000",445.8,-0.95,-0.22%,-7.65,-1.72%,15.65,3.57%,-17.78%,443.02,1.27%,High,Down Day,August,2020
Axis Bank,18/08/2020,445.80,439.50,447.25,435.30,"21,770,000",444.2,6.3,1.43%,1.6,0.36%,11.95,2.68%,-27.91%,446.62,2.02%,High,Up Day,August,2020
Axis Bank,19/08/2020,444.20,446.00,451.95,442.45,"18,130,000",434.95,-1.8,-0.40%,9.25,2.13%,9.5,2.14%,-16.72%,450.51,2.98%,High,Up Day,August,2020
Axis Bank,20/08/2020,434.95,437.90,441.30,433.25,"16,690,000",440.45,-2.95,-0.67%,-5.5,-1.25%,8.05,1.85%,-7.94%,459.80,5.53%,High,Down Day,August,2020
Axis Bank,21/08/2020,440.45,440.00,444.85,436.25,"25,090,000",445.8,0.45,0.10%,-5.35,-1.20%,8.6,1.95%,50.33%,468.63,5.57%,High,Down Day,August,2020
Axis Bank,24/08/2020,445.80,444.00,449.45,442.30,"18,200,000",451.8,1.8,0.41%,-6,-1.33%,7.15,1.60%,-27.46%,475.09,4.93%,High,Down Day,August,2020
Axis Bank,25/08/2020,451.80,450.95,456.40,447.10,"26,270,000",463.35,0.85,0.19%,-11.55,-2.49%,9.3,2.06%,44.34%,480.61,4.08%,High,Down Day,August,2020
Axis Bank,26/08/2020,463.35,452.00,464.80,449.00,"25,910,000",473.05,11.35,2.51%,-9.7,-2.05%,15.8,3.41%,-1.37%,483.91,3.19%,High,Down Day,August,2020
Axis Bank,27/08/2020,473.05,464.00,474.50,464.00,"19,540,000",509.2,9.05,1.95%,-36.15,-7.10%,10.5,2.22%,-24.59%,482.75,3.61%,High,Down Day,August,2020
Axis Bank,28/08/2020,509.20,476.45,513.00,476.05,"59,180,000",496.75,32.75,6.87%,12.45,2.51%,36.95,7.26%,202.87%,480.70,4.05%,Medium,Up Day,August,2020
Axis Bank,31/08/2020,496.75,524.45,533.85,486.30,"55,830,000",485.7,-27.7,-5.28%,11.05,2.28%,47.55,9.57%,-5.66%,471.44,4.05%,Medium,Up Day,August,2020
Axis Bank,01/09/2020,485.70,495.05,503.40,479.65,"33,280,000",484.4,-9.35,-1.89%,1.3,0.27%,23.75,4.89%,-40.39%,462.08,4.46%,Medium,Up Day,September,2020
Axis Bank,02/09/2020,484.40,487.00,487.95,472.10,"20,750,000",474.95,-2.6,-0.53%,9.45,1.99%,15.85,3.27%,-37.65%,456.53,4.00%,Low,Up Day,September,2020
Axis Bank,03/09/2020,474.95,488.40,489.95,473.10,"14,050,000",455.2,-13.45,-2.75%,19.75,4.34%,16.85,3.55%,-32.29%,451.21,3.02%,Medium,Up Day,September,2020
Axis Bank,04/09/2020,455.20,469.00,472.95,452.60,"29,410,000",458.7,-13.8,-2.94%,-3.5,-0.76%,20.35,4.47%,109.32%,446.30,2.04%,High,Down Day,September,2020
Axis Bank,07/09/2020,458.70,457.00,467.15,450.65,"25,970,000",444.35,1.7,0.37%,14.35,3.23%,16.5,3.60%,-11.70%,445.49,1.89%,High,Up Day,September,2020
Axis Bank,08/09/2020,444.35,459.80,462.40,441.25,"21,050,000",431.25,-15.45,-3.36%,13.1,3.04%,21.15,4.76%,-18.94%,443.68,1.39%,High,Up Day,September,2020
Axis Bank,09/09/2020,431.25,439.90,443.35,425.00,"31,660,000",446.85,-8.65,-1.97%,-15.6,-3.49%,18.35,4.26%,50.40%,443.47,1.39%,High,Down Day,September,2020
Axis Bank,10/09/2020,446.85,436.45,448.70,430.75,"34,440,000",447.2,10.4,2.38%,-0.35,-0.08%,17.95,4.02%,8.78%,445.20,0.69%,High,Down Day,September,2020
Axis Bank,11/09/2020,447.20,446.00,449.85,439.25,"18,620,000",440.55,1.2,0.27%,6.65,1.51%,10.6,2.37%,-45.93%,441.84,1.97%,High,Up Day,September,2020
Axis Bank,14/09/2020,440.55,452.00,455.00,438.00,"17,620,000",449.55,-11.45,-2.53%,-9,-2.00%,17,3.86%,-5.37%,436.81,3.15%,High,Down Day,September,2020
Axis Bank,15/09/2020,449.55,441.05,451.90,435.90,"17,330,000",446,8.5,1.93%,3.55,0.80%,16,3.56%,-1.65%,433.84,3.46%,High,Up Day,September,2020
Axis Bank,16/09/2020,446.00,449.55,450.60,440.00,"20,020,000",442.9,-3.55,-0.79%,3.1,0.70%,10.6,2.38%,15.52%,427.11,4.03%,High,Up Day,September,2020
Axis Bank,17/09/2020,442.90,440.95,446.45,438.50,"14,310,000",443.35,1.95,0.44%,-0.45,-0.10%,7.95,1.79%,-28.52%,422.69,3.65%,High,Down Day,September,2020
Axis Bank,18/09/2020,443.35,444.55,449.30,436.05,"20,810,000",423.35,-1.2,-0.27%,20,4.72%,13.25,2.99%,45.42%,422.17,3.47%,High,Up Day,September,2020
Axis Bank,21/09/2020,423.35,443.00,444.00,420.55,"19,010,000",412,-19.65,-4.44%,11.35,2.75%,23.45,5.54%,-8.65%,419.81,2.79%,High,Up Day,September,2020
Axis Bank,22/09/2020,412.00,424.00,426.65,406.30,"27,560,000",419.75,-12,-2.83%,-7.75,-1.85%,20.35,4.94%,44.98%,420.00,2.81%,High,Down Day,September,2020
Axis Bank,23/09/2020,419.75,418.10,422.90,406.10,"18,610,000",402.45,1.65,0.39%,17.3,4.30%,16.8,4.00%,-32.47%,424.53,3.32%,High,Up Day,September,2020
Axis Bank,24/09/2020,402.45,414.00,414.30,401.15,"21,180,000",415.05,-11.55,-2.79%,-12.6,-3.04%,13.15,3.27%,13.81%,428.01,3.65%,High,Down Day,September,2020
Axis Bank,25/09/2020,415.05,407.50,416.70,400.15,"20,460,000",439.25,7.55,1.85%,-24.2,-5.51%,16.55,3.99%,-3.40%,434.76,2.91%,Medium,Down Day,September,2020
