Stock,Date,Price,Open,High,Low,Volume,Previous Close,Intraday Price Change,Intraday %,Interday Price Change,Daily Return %,High-Low Range,High-Low % Range,Volume % Change,7-Day Moving Avg,7-Day Volatility,Risk Level,Day Type,Month,Year
Axis Bank,09/09/2024,"1,170.85","1,158.00","1,175.60","1,145.00","7,700,000",1187.2,12.85,1.11%,-16.35,-1.38%,30.6,2.61%,-21.99%,"1,204.01",1.98%,Low,Down Day,September,2024
Axis Bank,10/09/2024,"1,187.20","1,178.90","1,190.85","1,173.35","8,720,000",1186.1,8.3,0.70%,1.1,0.09%,17.5,1.47%,13.25%,"1,213.96",1.82%,Medium,Up Day,September,2024
Axis Bank,11/09/2024,"1,186.10","1,187.20","1,194.85","1,181.00","6,000,000",1203.35,-1.1,-0.09%,-17.25,-1.43%,13.85,1.17%,-31.19%,"1,221.89",1.71%,Medium,Down Day,September,2024
Axis Bank,12/09/2024,"1,203.35","1,190.10","1,205.70","1,176.75","7,590,000",1217.45,13.25,1.11%,-14.1,-1.16%,28.95,2.41%,26.50%,"1,230.30",1.23%,Medium,Down Day,September,2024
Axis Bank,13/09/2024,"1,217.45","1,209.90","1,219.55","1,201.00","6,760,000",1231.05,7.55,0.62%,-13.6,-1.10%,18.55,1.52%,-10.94%,"1,236.51",0.84%,Medium,Down Day,September,2024
Axis Bank,16/09/2024,"1,231.05","1,222.00","1,234.00","1,215.00","4,040,000",1232.1,9.05,0.74%,-1.05,-0.09%,19,1.54%,-40.24%,"1,239.66",0.49%,High,Down Day,September,2024
Axis Bank,17/09/2024,"1,232.10","1,235.20","1,240.60","1,227.60","8,030,000",1240.45,-3.1,-0.25%,-8.35,-0.67%,13,1.06%,98.76%,"1,244.96",0.90%,High,Down Day,September,2024
Axis Bank,18/09/2024,"1,240.45","1,231.90","1,250.40","1,225.00","8,210,000",1242.7,8.55,0.69%,-2.25,-0.18%,25.4,2.05%,2.24%,"1,251.39",1.19%,High,Down Day,September,2024
Axis Bank,19/09/2024,"1,242.70","1,248.45","1,261.70","1,239.00","8,450,000",1245,-5.75,-0.46%,-2.3,-0.18%,22.7,1.83%,2.92%,"1,256.06",1.28%,High,Down Day,September,2024
Axis Bank,20/09/2024,"1,245.00","1,244.00","1,250.00","1,229.90","15,010,000",1246.8,1,0.08%,-1.8,-0.14%,20.1,1.61%,77.63%,"1,254.56",1.42%,High,Down Day,September,2024
Axis Bank,23/09/2024,"1,246.80","1,251.50","1,252.45","1,240.55","5,460,000",1239.55,-4.7,-0.38%,7.25,0.58%,11.9,0.95%,-63.62%,"1,251.94",1.65%,High,Up Day,September,2024
Axis Bank,24/09/2024,"1,239.55","1,241.10","1,247.10","1,235.35","9,230,000",1268.1,-1.55,-0.12%,-28.55,-2.25%,11.75,0.95%,69.05%,"1,241.78",2.87%,Medium,Down Day,September,2024
Axis Bank,25/09/2024,"1,268.10","1,238.00","1,271.00","1,231.10","6,850,000",1277.1,30.1,2.43%,-9,-0.70%,39.9,3.15%,-25.79%,"1,233.04",3.49%,Medium,Down Day,September,2024
Axis Bank,26/09/2024,"1,277.10","1,267.55","1,281.65","1,262.25","7,270,000",1273.15,9.55,0.75%,3.95,0.31%,19.4,1.52%,6.13%,"1,215.56",4.16%,Medium,Up Day,September,2024
Axis Bank,27/09/2024,"1,273.15","1,273.00","1,281.55","1,257.25","13,370,000",1232.2,0.15,0.01%,40.95,3.32%,24.3,1.91%,83.91%,"1,197.87",3.92%,Medium,Up Day,September,2024
Axis Bank,30/09/2024,"1,232.20","1,263.50","1,275.00","1,229.35","8,470,000",1226.65,-31.3,-2.48%,5.55,0.45%,45.65,3.70%,-36.65%,"1,183.16",2.85%,Medium,Up Day,September,2024
Axis Bank,01/10/2024,"1,226.65","1,228.10","1,242.95","1,224.65","11,160,000",1175.7,-1.45,-0.12%,50.95,4.33%,18.3,1.49%,31.76%,"1,176.31",2.22%,Medium,Up Day,October,2024
Axis Bank,03/10/2024,"1,175.70","1,207.50","1,219.15","1,173.10","17,300,000",1178.4,-31.8,-2.63%,-2.7,-0.23%,46.05,3.92%,55.02%,"1,168.56",1.19%,Medium,Down Day,October,2024
Axis Bank,04/10/2024,"1,178.40","1,175.50","1,202.80","1,174.00","13,060,000",1145.7,2.9,0.25%,32.7,2.85%,28.8,2.44%,-24.51%,"1,166.94",1.17%,Medium,Up Day,October,2024
Axis Bank,07/10/2024,"1,145.70","1,182.95","1,184.85","1,130.90","20,050,000",1153.3,-37.25,-3.15%,-7.6,-0.66%,53.95,4.71%,53.52%,"1,163.44",1.15%,Medium,Down Day,October,2024
Axis Bank,08/10/2024,"1,153.30","1,153.00","1,168.35","1,142.50","8,460,000",1170.15,0.3,0.03%,-16.85,-1.44%,25.85,2.24%,-57.81%,"1,164.51",1.02%,Medium,Down Day,October,2024
Axis Bank,09/10/2024,"1,170.15","1,154.00","1,185.00","1,154.00","9,810,000",1184.25,16.15,1.40%,-14.1,-1.19%,31,2.65%,15.96%,"1,161.44",1.46%,Medium,Down Day,October,2024
Axis Bank,10/10/2024,"1,184.25","1,177.00","1,191.00","1,175.05","6,810,000",1172.45,7.25,0.62%,11.8,1.01%,15.95,1.35%,-30.58%,"1,165.26",1.85%,Medium,Up Day,October,2024
Axis Bank,11/10/2024,"1,172.45","1,182.50","1,188.20","1,166.00","4,750,000",1164.35,-10.05,-0.85%,8.1,0.70%,22.2,1.89%,-30.25%,"1,166.12",1.94%,Low,Up Day,October,2024
Axis Bank,14/10/2024,"1,164.35","1,171.55","1,175.00","1,156.60","9,770,000",1153.85,-7.2,-0.61%,10.5,0.91%,18.4,1.58%,105.68%,"1,166.59",1.95%,Low,Up Day,October,2024
Axis Bank,15/10/2024,"1,153.85","1,166.10","1,172.00","1,149.50","8,740,000",1153.2,-12.25,-1.05%,0.65,0.06%,22.5,1.95%,-10.54%,"1,166.03",1.96%,Medium,Up Day,October,2024
Axis Bank,16/10/2024,"1,153.20","1,151.00","1,162.95","1,148.10","7,740,000",1131.85,2.2,0.19%,21.35,1.89%,14.85,1.29%,-11.44%,"1,167.96",1.91%,Low,Up Day,October,2024
Axis Bank,17/10/2024,"1,131.85","1,151.00","1,151.35","1,124.00","6,600,000",1196.85,-19.15,-1.66%,-65,-5.43%,27.35,2.42%,-14.73%,"1,173.12",1.91%,Medium,Down Day,October,2024
Axis Bank,18/10/2024,"1,196.85","1,158.00","1,203.85","1,156.05","20,830,000",1190.3,38.85,3.35%,6.55,0.55%,47.8,3.99%,215.61%,"1,178.80",1.15%,Medium,Up Day,October,2024
Axis Bank,21/10/2024,"1,190.30","1,196.85","1,214.80","1,185.55","7,460,000",1175.75,-6.55,-0.55%,14.55,1.24%,29.25,2.46%,-64.19%,"1,177.37",1.00%,Medium,Up Day,October,2024
Axis Bank,22/10/2024,"1,175.75","1,194.25","1,198.00","1,173.35","7,260,000",1160.4,-18.5,-1.55%,15.35,1.32%,24.65,2.10%,-2.68%,"1,174.53",0.89%,Low,Up Day,October,2024
Axis Bank,23/10/2024,"1,160.40","1,175.10","1,183.15","1,158.65","6,500,000",1167.35,-14.7,-1.25%,-6.95,-0.60%,24.5,2.11%,-10.47%,"1,172.21",1.01%,Low,Down Day,October,2024
Axis Bank,24/10/2024,"1,167.35","1,165.00","1,175.20","1,154.65","5,050,000",1189.35,2.35,0.20%,-22,-1.85%,20.55,1.76%,-22.31%,"1,173.52",0.91%,Low,Down Day,October,2024
Axis Bank,25/10/2024,"1,189.35","1,187.00","1,201.75","1,170.00","12,800,000",1171.6,2.35,0.20%,17.75,1.52%,31.75,2.67%,153.47%,"1,169.51",1.45%,Low,Up Day,October,2024
Axis Bank,28/10/2024,"1,171.60","1,194.00","1,194.00","1,167.05","8,570,000",1186.85,-22.4,-1.88%,-15.25,-1.28%,26.95,2.30%,-33.05%,"1,166.99",1.25%,Low,Down Day,October,2024
Axis Bank,29/10/2024,"1,186.85","1,176.40","1,191.20","1,157.60","9,910,000",1170.4,10.45,0.89%,16.45,1.41%,33.6,2.83%,15.64%,"1,166.26",1.24%,Medium,Up Day,October,2024
Axis Bank,30/10/2024,"1,170.40","1,178.75","1,187.65","1,164.30","9,690,000",1159.55,-8.35,-0.71%,10.85,0.94%,23.35,2.00%,-2.22%,"1,162.41",0.97%,Medium,Up Day,October,2024
Axis Bank,31/10/2024,"1,159.55","1,165.50","1,178.00","1,153.85","8,680,000",1169.55,-5.95,-0.51%,-10,-0.86%,24.15,2.08%,-10.42%,"1,161.06",0.93%,Medium,Down Day,October,2024
Axis Bank,01/11/2024,"1,169.55","1,164.05","1,172.50","1,164.00","460,780",1139.25,5.5,0.47%,30.3,2.66%,8.5,0.73%,-94.69%,"1,162.69",0.98%,Medium,Up Day,November,2024
Axis Bank,04/11/2024,"1,139.25","1,172.00","1,176.95","1,135.45","9,290,000",1171.7,-32.75,-2.79%,-32.45,-2.77%,41.5,3.64%,1916.15%,"1,161.06",0.95%,Low,Down Day,November,2024
Axis Bank,05/11/2024,"1,171.70","1,138.95","1,174.90","1,133.45","11,700,000",1166.5,32.75,2.88%,5.2,0.45%,41.45,3.54%,25.94%,"1,161.05",0.95%,Low,Up Day,November,2024
Axis Bank,06/11/2024,"1,166.50","1,171.80","1,183.55","1,161.45","10,350,000",1159.9,-5.3,-0.45%,6.6,0.57%,22.1,1.89%,-11.54%,"1,156.62",1.06%,Low,Up Day,November,2024
Axis Bank,07/11/2024,"1,159.90","1,168.60","1,172.90","1,151.05","6,250,000",1160.95,-8.7,-0.74%,-1.05,-0.09%,21.85,1.88%,-39.61%,"1,150.86",1.37%,Low,Down Day,November,2024
Axis Bank,08/11/2024,"1,160.95","1,156.00","1,167.75","1,151.10","3,790,000",1171,4.95,0.43%,-10.05,-0.86%,16.65,1.43%,-39.36%,"1,147.16",1.42%,Low,Down Day,November,2024
Axis Bank,11/11/2024,"1,171.00","1,152.00","1,176.80","1,142.95","6,620,000",1158.15,19,1.65%,12.85,1.11%,33.85,2.89%,74.67%,"1,144.04",1.34%,Low,Up Day,November,2024
Axis Bank,12/11/2024,"1,158.15","1,171.65","1,187.00","1,153.80","9,610,000",1139.15,-13.5,-1.15%,19,1.67%,33.2,2.87%,45.17%,"1,139.96",0.85%,Low,Up Day,November,2024
Axis Bank,13/11/2024,"1,139.15","1,151.90","1,165.50","1,135.10","8,080,000",1140.7,-12.75,-1.11%,-1.55,-0.14%,30.4,2.67%,-15.92%,"1,139.64",0.79%,Low,Down Day,November,2024
Axis Bank,14/11/2024,"1,140.70","1,137.55","1,150.75","1,131.60","5,980,000",1126.2,3.15,0.28%,14.5,1.29%,19.15,1.68%,-25.99%,"1,140.44",0.81%,Low,Up Day,November,2024
Axis Bank,18/11/2024,"1,126.20","1,131.20","1,135.00","1,121.55","9,470,000",1133.95,-5,-0.44%,-7.75,-0.68%,13.45,1.19%,58.36%,"1,141.72",0.86%,Medium,Down Day,November,2024
Axis Bank,19/11/2024,"1,133.95","1,130.00","1,139.00","1,122.05","19,230,000",1139.15,3.95,0.35%,-5.2,-0.46%,16.95,1.49%,103.06%,"1,142.62",0.73%,Medium,Down Day,November,2024
Axis Bank,21/11/2024,"1,139.15","1,138.00","1,152.00","1,115.75","8,130,000",1142.4,1.15,0.10%,-3.25,-0.28%,36.25,3.18%,-57.72%,"1,142.96",0.70%,Medium,Down Day,November,2024
Axis Bank,22/11/2024,"1,142.40","1,136.65","1,147.90","1,127.55","16,690,000",1155.9,5.75,0.51%,-13.5,-1.17%,20.35,1.78%,105.29%,"1,142.66",0.72%,Medium,Down Day,November,2024
Axis Bank,25/11/2024,"1,155.90","1,160.00","1,164.50","1,142.00","12,390,000",1144.8,-4.1,-0.35%,11.1,0.97%,22.5,1.95%,-25.76%,"1,145.25",0.93%,Medium,Up Day,November,2024
Axis Bank,26/11/2024,"1,144.80","1,157.10","1,159.60","1,142.65","5,130,000",1149.65,-12.3,-1.06%,-4.85,-0.42%,16.95,1.48%,-58.60%,"1,145.76",0.98%,Medium,Down Day,November,2024
Axis Bank,27/11/2024,"1,149.65","1,145.20","1,155.45","1,133.55","5,990,000",1132.5,4.45,0.39%,17.15,1.51%,21.9,1.90%,16.76%,"1,148.84",1.19%,Medium,Up Day,November,2024
Axis Bank,28/11/2024,"1,132.50","1,148.50","1,154.45","1,129.40","10,730,000",1136.3,-16,-1.39%,-3.8,-0.33%,25.05,2.21%,79.13%,"1,153.83",1.67%,Medium,Down Day,November,2024
Axis Bank,29/11/2024,"1,136.30","1,133.55","1,140.90","1,127.70","6,410,000",1137.1,2.75,0.24%,-0.8,-0.07%,13.2,1.16%,-40.26%,"1,158.22",1.46%,Low,Down Day,November,2024
Axis Bank,02/12/2024,"1,137.10","1,132.70","1,141.40","1,126.60","4,790,000",1160.5,4.4,0.39%,-23.4,-2.02%,14.8,1.30%,-25.27%,"1,160.70",1.23%,Low,Down Day,December,2024
Axis Bank,03/12/2024,"1,160.50","1,144.40","1,164.90","1,138.00","8,380,000",1159.45,16.1,1.41%,1.05,0.09%,26.9,2.32%,74.95%,"1,162.15",1.01%,Medium,Up Day,December,2024
Axis Bank,04/12/2024,"1,159.45","1,157.50","1,168.00","1,153.90","18,380,000",1166.4,1.95,0.17%,-6.95,-0.60%,14.1,1.22%,119.33%,"1,160.03",1.15%,High,Down Day,December,2024
Axis Bank,05/12/2024,"1,166.40","1,164.00","1,176.90","1,150.10","10,640,000",1184.55,2.4,0.21%,-18.15,-1.53%,26.8,2.30%,-42.11%,"1,158.41",1.21%,High,Down Day,December,2024
Axis Bank,06/12/2024,"1,184.55","1,167.50","1,193.85","1,160.00","7,540,000",1163.25,17.05,1.46%,21.3,1.83%,33.85,2.86%,-29.14%,"1,156.20",1.19%,High,Up Day,December,2024
Axis Bank,09/12/2024,"1,163.25","1,184.25","1,186.00","1,161.00","6,310,000",1153.65,-21,-1.77%,9.6,0.83%,25,2.15%,-16.31%,"1,149.30",0.72%,High,Up Day,December,2024
Axis Bank,10/12/2024,"1,153.65","1,157.00","1,165.05","1,151.25","4,710,000",1147.25,-3.35,-0.29%,6.4,0.56%,13.8,1.20%,-25.36%,"1,143.44",0.95%,Medium,Up Day,December,2024
Axis Bank,11/12/2024,"1,147.25","1,150.00","1,158.35","1,144.55","7,790,000",1145.65,-2.75,-0.24%,1.6,0.14%,13.8,1.20%,65.39%,"1,137.05",1.39%,Medium,Up Day,December,2024
Axis Bank,12/12/2024,"1,145.65","1,145.00","1,154.55","1,143.60","4,830,000",1148.15,0.65,0.06%,-2.5,-0.22%,10.95,0.96%,-38.00%,"1,126.28",2.52%,Low,Down Day,December,2024
Axis Bank,13/12/2024,"1,148.15","1,141.00","1,152.70","1,113.65","8,730,000",1150.9,7.15,0.63%,-2.75,-0.24%,39.05,3.40%,80.75%,"1,116.78",2.84%,Low,Down Day,December,2024
Axis Bank,16/12/2024,"1,150.90","1,146.50","1,155.00","1,141.75","3,980,000",1136.25,4.4,0.38%,14.65,1.29%,13.25,1.15%,-54.41%,"1,106.89",2.81%,Low,Up Day,December,2024
Axis Bank,17/12/2024,"1,136.25","1,145.25","1,151.85","1,130.00","7,290,000",1122.25,-9,-0.79%,14,1.25%,21.85,1.92%,83.17%,"1,096.29",2.36%,Low,Up Day,December,2024
Axis Bank,18/12/2024,"1,122.25","1,136.20","1,139.90","1,115.95","7,220,000",1108.9,-13.95,-1.23%,13.35,1.20%,23.95,2.13%,-0.96%,"1,087.89",1.79%,Low,Up Day,December,2024
Axis Bank,19/12/2024,"1,108.90","1,104.90","1,119.05","1,101.05","11,680,000",1071.85,4,0.36%,37.05,3.46%,18,1.62%,61.77%,"1,080.41",1.21%,Low,Up Day,December,2024
Axis Bank,20/12/2024,"1,071.85","1,103.95","1,105.85","1,065.00","12,620,000",1079.15,-32.1,-2.91%,-7.3,-0.68%,40.85,3.81%,8.05%,"1,074.10",0.51%,Low,Down Day,December,2024
Axis Bank,23/12/2024,"1,079.15","1,075.10","1,083.55","1,072.40","3,890,000",1078.9,4.05,0.38%,0.25,0.02%,11.15,1.03%,-69.18%,"1,074.09",0.51%,Low,Up Day,December,2024
Axis Bank,24/12/2024,"1,078.90","1,077.30","1,084.75","1,076.00","4,340,000",1076.7,1.6,0.15%,2.2,0.20%,8.75,0.81%,11.57%,"1,075.16",0.66%,Medium,Up Day,December,2024
Axis Bank,26/12/2024,"1,076.70","1,083.00","1,092.60","1,072.75","4,780,000",1077.45,-6.3,-0.58%,-0.75,-0.07%,19.85,1.84%,10.14%,"1,076.01",0.74%,Medium,Down Day,December,2024
Axis Bank,27/12/2024,"1,077.45","1,078.10","1,086.25","1,076.00","3,800,000",1069.95,-0.65,-0.06%,7.5,0.70%,10.25,0.95%,-20.50%,"1,074.11",0.86%,Medium,Up Day,December,2024
Axis Bank,30/12/2024,"1,069.95","1,074.10","1,096.50","1,063.95","9,450,000",1064.7,-4.15,-0.39%,5.25,0.49%,32.55,3.04%,148.68%,"1,072.69",0.87%,Medium,Up Day,December,2024
Axis Bank,31/12/2024,"1,064.70","1,062.00","1,070.45","1,058.50","5,290,000",1071.8,2.7,0.25%,-7.1,-0.66%,11.95,1.12%,-44.02%,"1,073.41",0.87%,Medium,Down Day,December,2024
Axis Bank,01/01/2025,"1,071.80","1,064.15","1,076.95","1,053.95","2,990,000",1086.6,7.65,0.72%,-14.8,-1.36%,23,2.15%,-43.48%,"1,072.99",0.92%,High,Down Day,January,2025
Axis Bank,02/01/2025,"1,086.60","1,072.00","1,088.70","1,067.50","6,560,000",1084.9,14.6,1.36%,1.7,0.16%,21.2,1.95%,119.40%,"1,068.54",1.47%,High,Up Day,January,2025
Axis Bank,03/01/2025,"1,084.90","1,086.00","1,093.50","1,079.80","7,360,000",1063.4,-1.1,-0.10%,21.5,2.02%,13.7,1.26%,12.20%,"1,063.21",1.40%,High,Up Day,January,2025
Axis Bank,06/01/2025,"1,063.40","1,087.75","1,090.00","1,059.90","5,280,000",1067.5,-24.35,-2.24%,-4.1,-0.38%,30.1,2.83%,-28.26%,"1,058.46",1.11%,High,Down Day,January,2025
Axis Bank,07/01/2025,"1,067.50","1,064.55","1,070.50","1,056.00","4,620,000",1074.95,2.95,0.28%,-7.45,-0.69%,14.5,1.36%,-12.50%,"1,053.24",1.56%,High,Down Day,January,2025
Axis Bank,08/01/2025,"1,074.95","1,063.75","1,082.35","1,059.10","8,780,000",1061.75,11.2,1.05%,13.2,1.24%,23.25,2.16%,90.04%,"1,049.02",1.52%,High,Up Day,January,2025
Axis Bank,09/01/2025,"1,061.75","1,079.60","1,080.15","1,054.25","9,050,000",1040.7,-17.85,-1.65%,21.05,2.02%,25.9,2.44%,3.08%,"1,037.04",2.23%,Medium,Up Day,January,2025
Axis Bank,10/01/2025,"1,040.70","1,056.25","1,064.85","1,037.00","5,610,000",1049.3,-15.55,-1.47%,-8.6,-0.82%,27.85,2.68%,-38.01%,"1,026.51",2.58%,Medium,Down Day,January,2025
Axis Bank,13/01/2025,"1,049.30","1,026.60","1,063.00","1,023.25","7,180,000",1051.65,22.7,2.21%,-2.35,-0.22%,39.75,3.79%,27.99%,"1,016.44",3.23%,Medium,Down Day,January,2025
Axis Bank,14/01/2025,"1,051.65","1,052.95","1,061.00","1,045.50","6,890,000",1026.8,-1.3,-0.12%,24.85,2.42%,15.5,1.47%,-4.04%,"1,003.58",3.52%,Medium,Up Day,January,2025
Axis Bank,15/01/2025,"1,026.80","1,043.00","1,052.90","1,014.65","11,420,000",1038,-16.2,-1.55%,-11.2,-1.08%,38.25,3.73%,65.75%,989.21,3.33%,Medium,Down Day,January,2025
Axis Bank,16/01/2025,"1,038.00","1,033.90","1,046.45","1,027.05","10,260,000",991.05,4.1,0.40%,46.95,4.74%,19.4,1.87%,-10.16%,978.02,3.20%,High,Up Day,January,2025
Axis Bank,17/01/2025,991.05,"1,000.00","1,011.70",974.60,"33,830,000",988.05,-8.95,-0.90%,3,0.30%,37.1,3.74%,229.73%,965.18,1.90%,Medium,Up Day,January,2025
Axis Bank,20/01/2025,988.05,992.05,994.20,976.50,"33,440,000",970.2,-4,-0.40%,17.85,1.84%,17.7,1.79%,-1.15%,964.14,1.74%,Medium,Up Day,January,2025
Axis Bank,21/01/2025,970.20,993.60,994.45,963.00,"11,890,000",959.3,-23.4,-2.36%,10.9,1.14%,31.45,3.24%,-64.44%,963.48,1.63%,Medium,Up Day,January,2025
Axis Bank,22/01/2025,959.30,975.75,975.75,954.00,"17,300,000",951.05,-16.45,-1.69%,8.25,0.87%,21.75,2.27%,45.50%,965.55,1.82%,Medium,Up Day,January,2025
Axis Bank,23/01/2025,951.05,954.00,963.70,948.00,"24,650,000",948.5,-2.95,-0.31%,2.55,0.27%,15.7,1.65%,42.49%,969.38,1.95%,Medium,Up Day,January,2025
Axis Bank,24/01/2025,948.50,948.00,961.80,946.10,"14,420,000",948.1,0.5,0.05%,0.4,0.04%,15.7,1.66%,-41.50%,976.11,2.01%,Medium,Up Day,January,2025
Axis Bank,27/01/2025,948.10,943.10,949.75,933.50,"12,710,000",983.8,5,0.53%,-35.7,-3.63%,16.25,1.71%,-11.86%,981.95,1.61%,Medium,Down Day,January,2025
Axis Bank,28/01/2025,983.80,960.00,993.85,958.20,"21,780,000",983.4,23.8,2.48%,0.4,0.04%,35.65,3.62%,71.36%,991.55,1.18%,Low,Up Day,January,2025
Axis Bank,29/01/2025,983.40,988.00,988.65,977.60,"11,180,000",984.7,-4.6,-0.47%,-1.3,-0.13%,11.05,1.12%,-48.67%,995.76,1.36%,Low,Down Day,January,2025
Axis Bank,30/01/2025,984.70,984.65,991.40,974.80,"10,470,000",986.1,0.05,0.01%,-1.4,-0.14%,16.6,1.69%,-6.35%,"1,001.09",1.51%,Low,Down Day,January,2025
Axis Bank,31/01/2025,986.10,982.00,990.00,978.05,"9,040,000",998.15,4.1,0.42%,-12.05,-1.21%,11.95,1.21%,-13.66%,"1,006.72",1.52%,Low,Down Day,January,2025
Axis Bank,01/02/2025,998.15,989.50,"1,004.95",982.00,"4,830,000",989.4,8.65,0.87%,8.75,0.88%,22.95,2.30%,-46.57%,"1,010.39",1.22%,Low,Up Day,February,2025
Axis Bank,03/02/2025,989.40,987.10,"1,000.50",983.35,"7,120,000",1015.3,2.3,0.23%,-25.9,-2.55%,17.15,1.73%,47.41%,"1,011.71",1.12%,Low,Down Day,February,2025
Axis Bank,04/02/2025,"1,015.30",994.00,"1,017.10",987.80,"16,060,000",1013.3,21.3,2.14%,2,0.20%,29.3,2.89%,125.56%,"1,014.21",0.63%,Low,Up Day,February,2025
Axis Bank,05/02/2025,"1,013.30","1,020.60","1,022.05","1,010.50","7,860,000",1020.7,-7.3,-0.72%,-7.4,-0.72%,11.55,1.14%,-51.06%,"1,013.19",0.67%,Low,Down Day,February,2025
Axis Bank,06/02/2025,"1,020.70","1,012.00","1,021.85","1,010.05","5,820,000",1024.1,8.7,0.86%,-3.4,-0.33%,11.8,1.16%,-25.95%,"1,010.94",0.89%,Low,Down Day,February,2025
Axis Bank,07/02/2025,"1,024.10","1,019.50","1,027.35","1,007.65","8,640,000",1011.75,4.6,0.45%,12.35,1.22%,19.7,1.92%,48.45%,"1,006.97",1.00%,Low,Up Day,February,2025
Axis Bank,10/02/2025,"1,011.75","1,021.00","1,026.75","1,006.20","3,960,000",1007.4,-9.25,-0.91%,4.35,0.43%,20.55,2.03%,-54.17%,"1,002.69",0.76%,Low,Up Day,February,2025
Axis Bank,11/02/2025,"1,007.40","1,009.00","1,016.35","1,002.60","4,810,000",1006.9,-1.6,-0.16%,0.5,0.05%,13.75,1.36%,21.46%,"1,002.64",0.75%,Low,Up Day,February,2025
Axis Bank,12/02/2025,"1,006.90","1,000.00","1,010.65",984.00,"7,670,000",1008.2,6.9,0.69%,-1.3,-0.13%,26.65,2.65%,59.46%,"1,004.04",0.92%,Low,Down Day,February,2025
Axis Bank,13/02/2025,"1,008.20","1,003.00","1,017.45","1,001.05","6,350,000",997.5,5.2,0.52%,10.7,1.07%,16.4,1.63%,-17.21%,"1,004.33",0.94%,Low,Up Day,February,2025
Axis Bank,14/02/2025,997.50,"1,010.55","1,016.00",987.65,"5,380,000",992.95,-13.05,-1.29%,4.55,0.46%,28.35,2.84%,-15.28%,"1,004.59",0.95%,Low,Up Day,February,2025
Axis Bank,17/02/2025,992.95,992.45,999.65,978.05,"7,170,000",994.15,0.5,0.05%,-1.2,-0.12%,21.6,2.18%,33.27%,"1,006.25",0.91%,Medium,Down Day,February,2025
Axis Bank,18/02/2025,994.15,992.95,997.35,986.55,"3,090,000",1011.35,1.2,0.12%,-17.2,-1.70%,10.8,1.09%,-56.90%,"1,009.64",0.76%,Medium,Down Day,February,2025
Axis Bank,19/02/2025,"1,011.35",991.65,"1,013.45",988.15,"6,400,000",1017.2,19.7,1.99%,-5.85,-0.58%,25.3,2.50%,107.12%,"1,012.70",0.36%,Medium,Down Day,February,2025
Axis Bank,20/02/2025,"1,017.20","1,008.40","1,019.65","1,006.50","5,010,000",1008.95,8.8,0.87%,8.25,0.82%,13.15,1.29%,-21.72%,"1,012.11",0.41%,Medium,Up Day,February,2025
Axis Bank,21/02/2025,"1,008.95","1,012.00","1,021.90","1,000.65","5,020,000",1010.05,-3.05,-0.30%,-1.1,-0.11%,21.25,2.11%,0.20%,"1,009.91",0.50%,Medium,Down Day,February,2025
Axis Bank,24/02/2025,"1,010.05","1,001.35","1,013.00",998.55,"4,270,000",1009.1,8.7,0.87%,0.95,0.09%,14.45,1.43%,-14.94%,"1,010.70",0.52%,Medium,Up Day,February,2025
Axis Bank,25/02/2025,"1,009.10","1,004.00","1,013.70",997.10,"5,710,000",1016.7,5.1,0.51%,-7.6,-0.75%,16.6,1.65%,33.72%,"1,014.14",1.01%,Medium,Down Day,February,2025
Axis Bank,27/02/2025,"1,016.70","1,007.65","1,023.55","1,005.15","9,780,000",1015.55,9.05,0.90%,1.15,0.11%,18.4,1.81%,71.28%,"1,018.21",1.30%,Medium,Up Day,February,2025
Axis Bank,28/02/2025,"1,015.55","1,014.80","1,035.50","1,009.95","15,030,000",1007.25,0.75,0.07%,8.3,0.82%,25.55,2.52%,53.68%,"1,020.95",1.44%,Medium,Up Day,February,2025
Axis Bank,03/03/2025,"1,007.25","1,017.05","1,019.40",992.00,"6,760,000",1001.8,-9.8,-0.96%,5.45,0.54%,27.4,2.72%,-55.02%,"1,022.39",1.43%,Medium,Up Day,March,2025
Axis Bank,04/03/2025,"1,001.80","1,001.10","1,011.10",998.60,"5,790,000",1014.45,0.7,0.07%,-12.65,-1.25%,12.5,1.25%,-14.35%,"1,022.96",1.37%,High,Down Day,March,2025
Axis Bank,05/03/2025,"1,014.45","1,003.00","1,017.40","1,002.55","5,130,000",1034.1,11.45,1.14%,-19.65,-1.90%,14.85,1.46%,-11.40%,"1,024.16",1.18%,High,Down Day,March,2025
Axis Bank,06/03/2025,"1,034.10","1,022.60","1,039.50","1,015.15","7,860,000",1037.65,11.5,1.12%,-3.55,-0.34%,24.35,2.35%,53.22%,"1,026.97",1.14%,High,Down Day,March,2025
Axis Bank,07/03/2025,"1,037.65","1,033.70","1,050.35","1,030.70","7,600,000",1035.85,3.95,0.38%,1.8,0.17%,19.65,1.89%,-3.31%,"1,028.56",1.31%,High,Up Day,March,2025
Axis Bank,10/03/2025,"1,035.85","1,036.00","1,050.50","1,032.35","6,000,000",1025.65,-0.15,-0.01%,10.2,0.99%,18.15,1.75%,-21.05%,"1,030.62",1.55%,High,Up Day,March,2025
Axis Bank,11/03/2025,"1,025.65","1,030.40","1,036.80","1,021.10","4,770,000",1011.2,-4.75,-0.46%,14.45,1.43%,15.7,1.53%,-20.50%,"1,033.26",1.78%,Medium,Up Day,March,2025
